INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('NTRLI', 'NTR', 'Lion', '5', '4', 'Carnivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('NTREL', 'NTR', 'Elephant', '5', '3', 'Herbivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('NTRTI', 'NTR', 'Tiger', '7', '2', 'Carnivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('NTRCH', 'NTR', 'Cheetah', '2', '8', 'Carnivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('NTRLE', 'NTR', 'Leopard', '3', '4', 'Carnivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('NTRHY', 'NTR', 'Hyena', '2', '4', 'Carnivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('NTRJA', 'NTR', 'Jaguar', '6', '3', 'Carnivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('NTRKO', 'NTR', 'Koala', '4', '4', 'Herbivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('NTRSL', 'NTR', 'Sloth', '4', '8', 'Omnivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('NTROR', 'NTR', 'Orangutan', '5', '6', 'Omnivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('WTRKA', 'WTR', 'Kangaroo', '5', '3', 'Herbivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('WTRZE', 'WTR', 'Zebra', '7', '3', 'Herbivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('WTRDE', 'WTR', 'Deer', '11', '9', 'Herbivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('WAMFR', 'WAM', 'Frog', '7', '2', 'Omnivores');
INSERT INTO `animals` (`animalID`, `speciesID`, `animalname`, `noofmale`, `nooffemale`, `animaltype`) VALUES ('WAMCR', 'WAM', 'Crocodile', '4', '3', 'Carnivores');
